,country,date,individuals,centroid_lon,centroid_lat,lat_max,lon_max,lan_min,lon_min,source
0,Poland,06 September 2022,5951510,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,"UNHCR, Government"
1,Russian Federation,05 September 2022,2490480,38.15560781,51.48885014,55.99145645,40.35573304,51.72774216,34.81290446,"UNHCR, Government"
2,Hungary,06 September 2022,1338276,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,"UNHCR, Government"
3,Romania,04 September 2022,1169027,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
4,Slovakia,06 September 2022,757851,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
5,Republic of Moldova,06 September 2022,600582,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,"UNHCR, Government"
6,Belarus,06 September 2022,16704,28.0463,53.5384,57.83893355,33.72794063,48.49689395,21.0463,"UNHCR, Government"
7,Poland,30 August 2022,5796748,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,"UNHCR, Government"
8,Russian Federation,30 August 2022,2414075,38.15560781,51.48885014,55.99145645,40.35573304,51.72774216,34.81290446,"UNHCR, Government"
9,Hungary,30 August 2022,1292632,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,"UNHCR, Government"
10,Romania,28 August 2022,1127998,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
11,Slovakia,30 August 2022,736387,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
12,Republic of Moldova,30 August 2022,591957,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,"UNHCR, Government"
13,Belarus,30 August 2022,16701,28.0463,53.5384,57.83893355,33.72794063,48.49689395,21.0463,"UNHCR, Government"
14,Poland,23 August 2022,5625142,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,"UNHCR, Government"
15,Russian Federation,23 August 2022,2308790,38.15560781,51.48885014,55.99145645,40.35573304,51.72774216,34.81290446,"UNHCR, Government"
16,Hungary,23 August 2022,1242352,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,"UNHCR, Government"
17,Slovakia,23 August 2022,713588,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
18,Republic of Moldova,23 August 2022,585614,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,"UNHCR, Government"
19,Belarus,23 August 2022,16692,28.0463,53.5384,57.83893355,33.72794063,48.49689395,21.0463,"UNHCR, Government"
20,Poland,16 August 2022,5439431,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,"UNHCR, Government"
21,Russian Federation,16 August 2022,2197679,38.15560781,51.48885014,55.99145645,40.35573304,51.72774216,34.81290446,"UNHCR, Government"
22,Hungary,16 August 2022,1188983,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,"UNHCR, Government"
23,Slovakia,16 August 2022,690337,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
24,Poland,15 August 2022,5415305,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,"UNHCR, Government"
25,Hungary,15 August 2022,1182013,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,"UNHCR, Government"
26,Romania,14 August 2022,1044292,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
27,Slovakia,15 August 2022,687368,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
28,Republic of Moldova,15 August 2022,573228,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,"UNHCR, Government"
29,Belarus,15 August 2022,16689,28.0463,53.5384,57.83893355,33.72794063,48.49689395,21.0463,"UNHCR, Government"
30,Hungary,11 August 2022,1151781,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,"UNHCR, Government"
31,Poland,09 August 2022,5269285,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,"UNHCR, Government"
32,Hungary,09 August 2022,1137559,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,"UNHCR, Government"
33,Romania,07 August 2022,998516,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
34,Slovakia,09 August 2022,668195,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
35,Republic of Moldova,09 August 2022,565543,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,"UNHCR, Government"
36,Belarus,09 August 2022,16685,28.0463,53.5384,57.83893355,33.72794063,48.49689395,21.0463,"UNHCR, Government"
37,Poland,08 August 2022,5247980,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,"UNHCR, Government"
38,Russian Federation,08 August 2022,2063463,38.15560781,51.48885014,55.99145645,40.35573304,51.72774216,34.81290446,"UNHCR, Government"
39,Hungary,08 August 2022,1131385,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,"UNHCR, Government"
40,Slovakia,08 August 2022,665796,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
41,Republic of Moldova,03 August 2022,558332,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,"UNHCR, Government"
42,Belarus,08 August 2022,16685,28.0463,53.5384,57.83893355,33.72794063,48.49689395,21.0463,"UNHCR, Government"
43,Russian Federation,02 August 2022,1968127,38.15560781,51.48885014,55.99145645,40.35573304,51.72774216,34.81290446,"UNHCR, Government"
